idEnvio,iataOrigen,iataDestino,tipoPaquete,cantidadMaletas,horaDisponibilidadUtc
SKBO-000000001,SKBO,SPIM,URGENTE,192,2026-01-02T05:55:00.000Z
SKBO-000000002,SKBO,SPIM,URGENTE,294,2026-01-02T06:58:00.000Z
SKBO-000000004,SKBO,SLLP,URGENTE,168,2026-01-02T08:41:00.000Z
SKBO-000000005,SKBO,SEQM,URGENTE,30,2026-01-02T09:36:00.000Z
SKBO-000000006,SKBO,SVMI,URGENTE,54,2026-01-02T10:37:00.000Z
SKBO-000000007,SKBO,OSDI,URGENTE,39,2026-01-02T11:29:00.000Z
SKBO-000000008,SKBO,SBBR,NORMAL,124,2026-01-02T12:22:00.000Z
SKBO-000000009,SKBO,OSDI,NORMAL,197,2026-01-02T13:21:00.000Z
SKBO-000000010,SKBO,SLLP,NORMAL,217,2026-01-02T14:17:00.000Z
SKBO-000000011,SKBO,EDDI,NORMAL,19,2026-01-02T15:13:00.000Z
SKBO-000000013,SKBO,OOMS,NORMAL,287,2026-01-02T16:59:00.000Z
SKBO-000000014,SKBO,OSDI,NORMAL,303,2026-01-02T17:52:00.000Z
SKBO-000000015,SKBO,SBBR,NORMAL,151,2026-01-02T18:49:00.000Z
SKBO-000000016,SKBO,SEQM,NORMAL,69,2026-01-02T19:43:00.000Z
SKBO-000000017,SKBO,UMMS,URGENTE,328,2026-01-03T05:51:00.000Z
SKBO-000000018,SKBO,OPKC,URGENTE,87,2026-01-03T06:47:00.000Z
SKBO-000000019,SKBO,OSDI,URGENTE,8,2026-01-03T07:36:00.000Z
SKBO-000000020,SKBO,LKPR,URGENTE,222,2026-01-03T08:21:00.000Z
SKBO-000000021,SKBO,LOWW,NORMAL,301,2026-01-03T09:13:00.000Z
SKBO-000000022,SKBO,LATI,NORMAL,193,2026-01-03T09:56:00.000Z
SKBO-000000023,SKBO,UBBB,NORMAL,238,2026-01-03T10:49:00.000Z
SKBO-000000024,SKBO,VIDP,NORMAL,244,2026-01-03T11:41:00.000Z
SKBO-000000025,SKBO,VIDP,NORMAL,311,2026-01-03T12:27:00.000Z
SKBO-000000026,SKBO,SBBR,NORMAL,196,2026-01-03T13:18:00.000Z
SKBO-000000028,SKBO,SCEL,NORMAL,50,2026-01-03T14:48:00.000Z
SKBO-000000029,SKBO,OYSN,NORMAL,263,2026-01-03T15:38:00.000Z
SKBO-000000030,SKBO,OAKB,NORMAL,246,2026-01-03T16:35:00.000Z
SKBO-000000031,SKBO,EBCI,NORMAL,215,2026-01-03T17:22:00.000Z
SKBO-000000032,SKBO,SGAS,NORMAL,229,2026-01-03T18:06:00.000Z
SKBO-000000033,SKBO,EDDI,NORMAL,311,2026-01-03T18:56:00.000Z
SKBO-000000034,SKBO,EHAM,NORMAL,227,2026-01-03T19:50:00.000Z
SKBO-000000035,SKBO,OPKC,NORMAL,317,2026-01-03T20:37:00.000Z
SKBO-000000036,SKBO,EDDI,URGENTE,269,2026-01-04T05:53:00.000Z
SKBO-000000038,SKBO,LDZA,URGENTE,51,2026-01-04T07:27:00.000Z
SKBO-000000039,SKBO,LOWW,URGENTE,133,2026-01-04T08:18:00.000Z
SKBO-000000040,SKBO,EDDI,NORMAL,224,2026-01-04T09:06:00.000Z
SKBO-000000041,SKBO,LDZA,NORMAL,156,2026-01-04T09:53:00.000Z
SKBO-000000042,SKBO,EDDI,NORMAL,274,2026-01-04T10:38:00.000Z
SKBO-000000043,SKBO,LATI,NORMAL,217,2026-01-04T11:25:00.000Z
SKBO-000000044,SKBO,LKPR,NORMAL,311,2026-01-04T12:12:00.000Z
SKBO-000000045,SKBO,EDDI,NORMAL,113,2026-01-04T13:07:00.000Z
SKBO-000000046,SKBO,SABE,NORMAL,278,2026-01-04T13:55:00.000Z
SKBO-000000047,SKBO,SBBR,NORMAL,89,2026-01-04T14:41:00.000Z
SKBO-000000048,SKBO,EHAM,NORMAL,242,2026-01-04T15:32:00.000Z
SKBO-000000049,SKBO,EKCH,NORMAL,249,2026-01-04T16:14:00.000Z
SKBO-000000050,SKBO,OYSN,NORMAL,164,2026-01-04T17:00:00.000Z
SKBO-000000051,SKBO,SGAS,NORMAL,326,2026-01-04T17:48:00.000Z
SKBO-000000052,SKBO,LOWW,NORMAL,174,2026-01-04T18:41:00.000Z
SKBO-000000053,SKBO,OJAI,NORMAL,205,2026-01-04T19:28:00.000Z
SKBO-000000054,SKBO,SGAS,NORMAL,276,2026-01-04T20:15:00.000Z
SKBO-000000055,SKBO,OSDI,NORMAL,244,2026-01-04T21:02:00.000Z
SKBO-000000056,SKBO,OYSN,URGENTE,110,2026-01-05T05:49:00.000Z
SKBO-000000057,SKBO,SCEL,URGENTE,273,2026-01-05T06:31:00.000Z
SKBO-000000058,SKBO,SUAA,NORMAL,245,2026-01-05T07:23:00.000Z
SKBO-000000059,SKBO,SEQM,NORMAL,1,2026-01-05T08:04:00.000Z
SKBO-000000060,SKBO,EHAM,NORMAL,279,2026-01-05T08:53:00.000Z
SKBO-000000061,SKBO,SGAS,NORMAL,5,2026-01-05T09:37:00.000Z
SKBO-000000062,SKBO,SGAS,NORMAL,246,2026-01-05T10:18:00.000Z
SKBO-000000063,SKBO,EBCI,NORMAL,24,2026-01-05T11:07:00.000Z
SKBO-000000064,SKBO,LDZA,NORMAL,95,2026-01-05T11:48:00.000Z
SKBO-000000065,SKBO,OJAI,NORMAL,189,2026-01-05T12:36:00.000Z
SKBO-000000066,SKBO,OSDI,NORMAL,52,2026-01-05T13:15:00.000Z
SKBO-000000067,SKBO,EHAM,NORMAL,228,2026-01-05T14:06:00.000Z
SKBO-000000068,SKBO,SBBR,NORMAL,110,2026-01-05T14:49:00.000Z
SKBO-000000069,SKBO,OAKB,NORMAL,150,2026-01-05T15:39:00.000Z
SKBO-000000070,SKBO,SVMI,NORMAL,205,2026-01-05T16:20:00.000Z
SKBO-000000071,SKBO,SBBR,NORMAL,305,2026-01-05T17:03:00.000Z
SKBO-000000072,SKBO,OPKC,NORMAL,95,2026-01-05T17:49:00.000Z
SKBO-000000073,SKBO,SGAS,NORMAL,135,2026-01-05T18:30:00.000Z
SKBO-000000074,SKBO,EKCH,NORMAL,198,2026-01-05T19:15:00.000Z
SKBO-000000075,SKBO,SGAS,NORMAL,196,2026-01-05T20:01:00.000Z
SKBO-000000076,SKBO,SGAS,NORMAL,272,2026-01-05T20:54:00.000Z
SKBO-000000077,SKBO,LOWW,NORMAL,185,2026-01-05T21:32:00.000Z
SKBO-000000078,SKBO,SGAS,URGENTE,182,2026-01-06T05:54:00.000Z
SKBO-000000079,SKBO,LDZA,URGENTE,62,2026-01-06T06:38:00.000Z
SKBO-000000080,SKBO,LBSF,NORMAL,192,2026-01-06T07:23:00.000Z
SKBO-000000081,SKBO,OSDI,NORMAL,26,2026-01-06T08:02:00.000Z
SKBO-000000082,SKBO,SVMI,NORMAL,203,2026-01-06T08:50:00.000Z
SKBO-000000083,SKBO,OYSN,NORMAL,49,2026-01-06T09:32:00.000Z
SKBO-000000084,SKBO,SLLP,NORMAL,299,2026-01-06T10:18:00.000Z
SKBO-000000085,SKBO,LOWW,NORMAL,14,2026-01-06T11:04:00.000Z
SKBO-000000086,SKBO,EDDI,NORMAL,103,2026-01-06T11:53:00.000Z
SKBO-000000087,SKBO,OSDI,NORMAL,57,2026-01-06T12:31:00.000Z
SKBO-000000088,SKBO,LDZA,NORMAL,279,2026-01-06T13:21:00.000Z
SKBO-000000089,SKBO,OJAI,NORMAL,107,2026-01-06T14:05:00.000Z
SKBO-000000090,SKBO,VIDP,NORMAL,210,2026-01-06T14:45:00.000Z
SKBO-000000091,SKBO,EHAM,NORMAL,147,2026-01-06T15:31:00.000Z
SKBO-000000092,SKBO,OSDI,NORMAL,153,2026-01-06T16:24:00.000Z
SKBO-000000093,SKBO,EBCI,NORMAL,106,2026-01-06T17:02:00.000Z
