idEnvio,iataOrigen,iataDestino,tipoPaquete,cantidadMaletas,horaDisponibilidadUtc
OYSN-000000032,OYSN,SVMI,NORMAL,239,2026-01-04T00:04:00.000Z
OJAI-000000032,OJAI,OSDI,NORMAL,153,2026-01-04T00:06:00.000Z
UMMS-000000036,UMMS,OPKC,NORMAL,141,2026-01-04T00:10:00.000Z
EDDI-000000039,EDDI,SBBR,URGENTE,262,2026-01-04T00:12:00.000Z
EKCH-000000035,EKCH,EHAM,NORMAL,28,2026-01-04T00:17:00.000Z
LATI-000000033,LATI,SKBO,URGENTE,264,2026-01-04T00:19:00.000Z
OPKC-000000042,OPKC,SPIM,NORMAL,17,2026-01-04T00:21:00.000Z
LKPR-000000037,LKPR,EKCH,URGENTE,85,2026-01-04T00:22:00.000Z
LOWW-000000027,LOWW,OOMS,URGENTE,94,2026-01-04T00:30:00.000Z
EBCI-000000045,EBCI,LOWW,URGENTE,284,2026-01-04T00:30:00.000Z
LBSF-000000036,LBSF,SABE,URGENTE,1,2026-01-04T00:30:00.000Z
UBBB-000000035,UBBB,EKCH,URGENTE,94,2026-01-04T00:33:00.000Z
OAKB-000000042,OAKB,SKBO,NORMAL,325,2026-01-04T00:34:00.000Z
OOMS-000000037,OOMS,EDDI,NORMAL,285,2026-01-04T00:34:00.000Z
LDZA-000000036,LDZA,EDDI,URGENTE,114,2026-01-04T00:35:00.000Z
EHAM-000000027,EHAM,SBBR,URGENTE,257,2026-01-04T00:39:00.000Z
OYSN-000000033,OYSN,UBBB,NORMAL,145,2026-01-04T00:45:00.000Z
UMMS-000000037,UMMS,LKPR,NORMAL,119,2026-01-04T00:50:00.000Z
OJAI-000000033,OJAI,OYSN,NORMAL,81,2026-01-04T00:50:00.000Z
EKCH-000000036,EKCH,EHAM,NORMAL,105,2026-01-04T01:00:00.000Z
OSDI-000000033,OSDI,OAKB,URGENTE,135,2026-01-04T01:00:00.000Z
OPKC-000000043,OPKC,SABE,NORMAL,254,2026-01-04T01:05:00.000Z
VIDP-000000032,VIDP,OJAI,URGENTE,148,2026-01-04T01:08:00.000Z
UBBB-000000036,UBBB,EDDI,URGENTE,198,2026-01-04T01:12:00.000Z
EDDI-000000040,EDDI,VIDP,URGENTE,153,2026-01-04T01:16:00.000Z
EBCI-000000046,EBCI,EKCH,URGENTE,246,2026-01-04T01:17:00.000Z
OOMS-000000038,OOMS,SBBR,NORMAL,281,2026-01-04T01:19:00.000Z
LBSF-000000037,LBSF,SPIM,URGENTE,263,2026-01-04T01:20:00.000Z
OAKB-000000043,OAKB,SEQM,NORMAL,121,2026-01-04T01:23:00.000Z
LDZA-000000037,LDZA,EBCI,URGENTE,106,2026-01-04T01:25:00.000Z
LKPR-000000038,LKPR,OAKB,URGENTE,143,2026-01-04T01:27:00.000Z
EHAM-000000028,EHAM,LOWW,URGENTE,68,2026-01-04T01:27:00.000Z
LATI-000000034,LATI,UMMS,URGENTE,97,2026-01-04T01:30:00.000Z
OYSN-000000034,OYSN,LKPR,NORMAL,71,2026-01-04T01:34:00.000Z
OJAI-000000034,OJAI,EBCI,NORMAL,100,2026-01-04T01:39:00.000Z
UMMS-000000038,UMMS,EKCH,NORMAL,227,2026-01-04T01:42:00.000Z
EKCH-000000037,EKCH,SPIM,NORMAL,168,2026-01-04T01:48:00.000Z
LOWW-000000028,LOWW,SGAS,URGENTE,219,2026-01-04T01:50:00.000Z
OPKC-000000044,OPKC,OAKB,NORMAL,10,2026-01-04T01:51:00.000Z
UBBB-000000037,UBBB,EBCI,NORMAL,299,2026-01-04T02:00:00.000Z
EBCI-000000047,EBCI,SGAS,NORMAL,278,2026-01-04T02:05:00.000Z
OAKB-000000044,OAKB,SUAA,NORMAL,83,2026-01-04T02:06:00.000Z
OOMS-000000039,OOMS,UMMS,NORMAL,50,2026-01-04T02:06:00.000Z
LBSF-000000038,LBSF,SCEL,URGENTE,131,2026-01-04T02:10:00.000Z
EHAM-000000029,EHAM,SCEL,URGENTE,252,2026-01-04T02:16:00.000Z
OYSN-000000035,OYSN,EBCI,NORMAL,198,2026-01-04T02:16:00.000Z
OJAI-000000035,OJAI,SABE,NORMAL,321,2026-01-04T02:16:00.000Z
LDZA-000000038,LDZA,UMMS,URGENTE,278,2026-01-04T02:18:00.000Z
VIDP-000000033,VIDP,EHAM,URGENTE,85,2026-01-04T02:18:00.000Z
EDDI-000000041,EDDI,EHAM,URGENTE,98,2026-01-04T02:22:00.000Z
