idEnvio,iataOrigen,iataDestino,tipoPaquete,cantidadMaletas,horaDisponibilidadUtc
OYSN-000000032,OYSN,SVMI,NORMAL,239,2026-01-04T00:04:00.000Z
OJAI-000000032,OJAI,OSDI,NORMAL,153,2026-01-04T00:06:00.000Z
UMMS-000000036,UMMS,OPKC,NORMAL,141,2026-01-04T00:10:00.000Z
EDDI-000000039,EDDI,SBBR,URGENTE,262,2026-01-04T00:12:00.000Z
EKCH-000000035,EKCH,EHAM,NORMAL,28,2026-01-04T00:17:00.000Z
LATI-000000033,LATI,SKBO,URGENTE,264,2026-01-04T00:19:00.000Z
OPKC-000000042,OPKC,SPIM,NORMAL,17,2026-01-04T00:21:00.000Z
LKPR-000000037,LKPR,EKCH,URGENTE,85,2026-01-04T00:22:00.000Z
LOWW-000000027,LOWW,OOMS,URGENTE,94,2026-01-04T00:30:00.000Z
EBCI-000000045,EBCI,LOWW,URGENTE,284,2026-01-04T00:30:00.000Z
