idEnvio,iataOrigen,iataDestino,tipoPaquete,cantidadMaletas,horaDisponibilidadUtc
OSDI-000000003,OSDI,LATI,URGENTE,282,2026-01-02T00:01:00.000Z
LKPR-000000002,LKPR,SPIM,URGENTE,102,2026-01-02T00:02:00.000Z
EKCH-000000002,EKCH,SCEL,URGENTE,187,2026-01-02T00:05:00.000Z
OYSN-000000003,OYSN,OPKC,URGENTE,278,2026-01-02T00:09:00.000Z
LATI-000000003,LATI,OOMS,NORMAL,162,2026-01-02T00:19:00.000Z
EDDI-000000003,EDDI,OYSN,NORMAL,311,2026-01-02T00:20:00.000Z
EBCI-000000003,EBCI,LOWW,NORMAL,108,2026-01-02T00:20:00.000Z
LBSF-000000004,LBSF,SLLP,URGENTE,117,2026-01-02T00:20:00.000Z
UBBB-000000002,UBBB,OSDI,URGENTE,165,2026-01-02T00:22:00.000Z
LOWW-000000002,LOWW,EDDI,URGENTE,281,2026-01-02T00:26:00.000Z
