idEnvio,iataOrigen,iataDestino,tipoPaquete,cantidadMaletas,horaDisponibilidadUtc
EHAM-000000012,EHAM,EDDI,URGENTE,265,2026-01-03T00:00:00.000Z
OPKC-000000026,OPKC,OAKB,URGENTE,40,2026-01-03T00:00:00.000Z
LDZA-000000022,LDZA,OJAI,URGENTE,188,2026-01-03T00:05:00.000Z
LBSF-000000022,LBSF,SKBO,URGENTE,222,2026-01-03T00:09:00.000Z
OJAI-000000012,OJAI,EBCI,NORMAL,164,2026-01-03T00:16:00.000Z
UBBB-000000014,UBBB,SUAA,NORMAL,273,2026-01-03T00:22:00.000Z
EBCI-000000024,EBCI,SPIM,NORMAL,274,2026-01-03T00:27:00.000Z
LKPR-000000017,LKPR,OJAI,NORMAL,281,2026-01-03T00:27:00.000Z
EKCH-000000016,EKCH,SABE,URGENTE,145,2026-01-03T00:27:00.000Z
LATI-000000023,LATI,UBBB,URGENTE,212,2026-01-03T00:32:00.000Z
OSDI-000000018,OSDI,OYSN,URGENTE,133,2026-01-03T00:45:00.000Z
UMMS-000000021,UMMS,LDZA,URGENTE,284,2026-01-03T00:51:00.000Z
OAKB-000000026,OAKB,SBBR,URGENTE,179,2026-01-03T00:51:00.000Z
LOWW-000000013,LOWW,LBSF,URGENTE,26,2026-01-03T00:53:00.000Z
EDDI-000000024,EDDI,SABE,URGENTE,57,2026-01-03T00:54:00.000Z
OOMS-000000025,OOMS,UBBB,URGENTE,15,2026-01-03T00:54:00.000Z
EHAM-000000013,EHAM,SLLP,URGENTE,75,2026-01-03T01:00:00.000Z
OYSN-000000018,OYSN,LBSF,URGENTE,260,2026-01-03T01:01:00.000Z
VIDP-000000022,VIDP,OOMS,URGENTE,199,2026-01-03T01:03:00.000Z
LKPR-000000018,LKPR,LATI,NORMAL,312,2026-01-03T01:04:00.000Z
OPKC-000000027,OPKC,SCEL,URGENTE,93,2026-01-03T01:04:00.000Z
EBCI-000000025,EBCI,OAKB,NORMAL,295,2026-01-03T01:06:00.000Z
OJAI-000000013,OJAI,SBBR,NORMAL,314,2026-01-03T01:06:00.000Z
UBBB-000000015,UBBB,SABE,NORMAL,79,2026-01-03T01:08:00.000Z
LBSF-000000023,LBSF,SCEL,URGENTE,132,2026-01-03T01:10:00.000Z
LDZA-000000023,LDZA,SVMI,URGENTE,145,2026-01-03T01:14:00.000Z
EKCH-000000017,EKCH,SVMI,URGENTE,58,2026-01-03T01:19:00.000Z
LATI-000000024,LATI,OOMS,URGENTE,159,2026-01-03T01:37:00.000Z
EDDI-000000025,EDDI,LATI,URGENTE,48,2026-01-03T01:41:00.000Z
OSDI-000000019,OSDI,SLLP,URGENTE,89,2026-01-03T01:43:00.000Z
