idEnvio,iataOrigen,iataDestino,tipoPaquete,cantidadMaletas,horaDisponibilidadUtc
OYSN-000000032,OYSN,SVMI,NORMAL,239,2026-01-04T00:04:00.000Z
OJAI-000000032,OJAI,OSDI,NORMAL,153,2026-01-04T00:06:00.000Z
UMMS-000000036,UMMS,OPKC,NORMAL,141,2026-01-04T00:10:00.000Z
EDDI-000000039,EDDI,SBBR,URGENTE,262,2026-01-04T00:12:00.000Z
EKCH-000000035,EKCH,EHAM,NORMAL,28,2026-01-04T00:17:00.000Z
LATI-000000033,LATI,SKBO,URGENTE,264,2026-01-04T00:19:00.000Z
OPKC-000000042,OPKC,SPIM,NORMAL,17,2026-01-04T00:21:00.000Z
LKPR-000000037,LKPR,EKCH,URGENTE,85,2026-01-04T00:22:00.000Z
LOWW-000000027,LOWW,OOMS,URGENTE,94,2026-01-04T00:30:00.000Z
EBCI-000000045,EBCI,LOWW,URGENTE,284,2026-01-04T00:30:00.000Z
LBSF-000000036,LBSF,SABE,URGENTE,1,2026-01-04T00:30:00.000Z
UBBB-000000035,UBBB,EKCH,URGENTE,94,2026-01-04T00:33:00.000Z
OAKB-000000042,OAKB,SKBO,NORMAL,325,2026-01-04T00:34:00.000Z
OOMS-000000037,OOMS,EDDI,NORMAL,285,2026-01-04T00:34:00.000Z
LDZA-000000036,LDZA,EDDI,URGENTE,114,2026-01-04T00:35:00.000Z
EHAM-000000027,EHAM,SBBR,URGENTE,257,2026-01-04T00:39:00.000Z
OYSN-000000033,OYSN,UBBB,NORMAL,145,2026-01-04T00:45:00.000Z
UMMS-000000037,UMMS,LKPR,NORMAL,119,2026-01-04T00:50:00.000Z
OJAI-000000033,OJAI,OYSN,NORMAL,81,2026-01-04T00:50:00.000Z
EKCH-000000036,EKCH,EHAM,NORMAL,105,2026-01-04T01:00:00.000Z
OSDI-000000033,OSDI,OAKB,URGENTE,135,2026-01-04T01:00:00.000Z
OPKC-000000043,OPKC,SABE,NORMAL,254,2026-01-04T01:05:00.000Z
VIDP-000000032,VIDP,OJAI,URGENTE,148,2026-01-04T01:08:00.000Z
UBBB-000000036,UBBB,EDDI,URGENTE,198,2026-01-04T01:12:00.000Z
EDDI-000000040,EDDI,VIDP,URGENTE,153,2026-01-04T01:16:00.000Z
EBCI-000000046,EBCI,EKCH,URGENTE,246,2026-01-04T01:17:00.000Z
OOMS-000000038,OOMS,SBBR,NORMAL,281,2026-01-04T01:19:00.000Z
LBSF-000000037,LBSF,SPIM,URGENTE,263,2026-01-04T01:20:00.000Z
OAKB-000000043,OAKB,SEQM,NORMAL,121,2026-01-04T01:23:00.000Z
LDZA-000000037,LDZA,EBCI,URGENTE,106,2026-01-04T01:25:00.000Z
